,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,536.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,572.0,572.0,572.0,572.0,0.0,0.0,0.0,0.0,565.0,565.0,565.0,565.0,565.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,549.0,549.0,549.0,549.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,0.0,0.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,549.0,549.0,549.0,549.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,0.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,586.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,549.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,0.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0.0,0.0,595.0,595.0,595.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,0.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,0.0,588.0,588.0,588.0,588.0,588.0,588.0
5,598.0,598.0,598.0,0.0,0.0,0.0,0.0,594.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,602.0,602.0,0.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,0.0,0.0,0.0,565.0,565.0,565.0,565.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0,588.0
6,598.0,598.0,598.0,598.0,598.0,594.0,594.0,594.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,602.0,602.0,602.0,602.0,602.0,564.0,564.0,564.0,564.0,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,603.0,603.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,604.0,604.0,604.0,604.0,604.0,572.0,572.0,572.0,572.0,572.0,572.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0,588.0
7,598.0,598.0,598.0,598.0,598.0,594.0,594.0,594.0,594.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,613.0,613.0,613.0,0.0,0.0,0.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,572.0,572.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0,588.0
8,598.0,598.0,598.0,598.0,598.0,598.0,594.0,594.0,594.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,0.0,0.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,578.0,578.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0
9,598.0,598.0,598.0,598.0,598.0,598.0,594.0,594.0,0.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0.0,595.0,595.0,595.0,595.0,595.0,595.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,609.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,588.0,588.0,588.0
